lon,lat,varname,area,year,total,max,avg,min,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,region
-117.0,34.0, T2M ,2555,-999,89.96,24.51,22.49,20.06,,,,,,20.64,23.83,23.95,21.54,,,,WESTERN_USA
-117.0,45.0, T2M ,2176,-999,63.46,19.35,15.86,12.2,,,,,,13.5,18.64,18.25,13.06,,,,WESTERN_USA
-117.0,47.0, T2M ,2098,-999,73.68,21.76,18.42,14.89,,,,,,16.3,21.02,20.71,15.64,,,,WESTERN_USA
-117.0,47.5, T2M ,2078,-999,74.39,21.92,18.6,15.1,,,,,,16.64,21.22,20.87,15.67,,,,WESTERN_USA
-117.0,48.0, T2M ,2058,-999,73.08,21.63,18.27,14.7,,,,,,16.39,20.91,20.57,15.21,,,,WESTERN_USA
-117.0,48.5, T2M ,2038,-999,65.68,19.8,16.42,12.85,,,,,,14.45,18.96,18.77,13.5,,,,WESTERN_USA
-116.5,44.5, T2M ,2195,-999,73.63,21.96,18.41,14.65,,,,,,16.2,21.37,20.77,15.29,,,,WESTERN_USA
-116.5,45.0, T2M ,2176,-999,61.45,18.87,15.36,11.68,,,,,,12.98,18.18,17.77,12.52,,,,WESTERN_USA
-116.5,45.5, T2M ,2157,-999,67.65,20.49,16.91,13.18,,,,,,14.44,19.66,19.41,14.14,,,,WESTERN_USA
-116.5,46.5, T2M ,2118,-999,76.17,22.43,19.04,15.46,,,,,,16.78,21.67,21.46,16.27,,,,WESTERN_USA
-116.5,47.0, T2M ,2098,-999,67.67,20.33,16.92,13.33,,,,,,14.86,19.54,19.24,14.03,,,,WESTERN_USA
-116.5,47.5, T2M ,2078,-999,70.03,20.91,17.51,13.94,,,,,,15.52,20.16,19.82,14.53,,,,WESTERN_USA
-116.5,48.0, T2M ,2058,-999,69.77,20.73,17.44,13.99,,,,,,14.99,19.77,20.01,15.0,,,,WESTERN_USA
-116.5,48.5, T2M ,2038,-999,67.57,20.21,16.89,13.37,,,,,,14.89,19.36,19.29,14.03,,,,WESTERN_USA
-116.0,43.5, T2M ,2233,-999,82.66,24.37,20.67,16.69,,,,,,18.54,23.84,23.02,17.26,,,,WESTERN_USA
-116.0,44.0, T2M ,2214,-999,69.43,20.86,17.36,13.61,,,,,,15.16,20.31,19.71,14.25,,,,WESTERN_USA
-116.0,44.5, T2M ,2195,-999,59.8,18.43,14.95,11.28,,,,,,12.67,17.85,17.26,12.02,,,,WESTERN_USA
-116.0,45.0, T2M ,2176,-999,53.75,16.95,13.44,9.75,,,,,,10.99,16.29,15.81,10.66,,,,WESTERN_USA
-116.0,45.5, T2M ,2157,-999,60.65,18.67,15.16,11.49,,,,,,12.76,17.92,17.55,12.42,,,,WESTERN_USA
-116.0,46.0, T2M ,2137,-999,69.02,20.59,17.25,13.75,,,,,,15.01,19.82,19.59,14.6,,,,WESTERN_USA
-116.0,46.5, T2M ,2118,-999,72.42,21.55,18.11,14.47,,,,,,15.89,20.74,20.53,15.27,,,,WESTERN_USA
-116.0,47.0, T2M ,2098,-999,63.56,19.38,15.89,12.22,,,,,,13.73,18.54,18.28,13.01,,,,WESTERN_USA
-116.0,47.5, T2M ,2078,-999,63.43,19.3,15.86,12.21,,,,,,13.93,18.53,18.17,12.8,,,,WESTERN_USA
-116.0,48.0, T2M ,2058,-999,62.31,18.98,15.58,11.95,,,,,,13.63,18.18,17.93,12.58,,,,WESTERN_USA
-116.0,48.5, T2M ,2038,-999,62.81,19.1,15.7,12.02,,,,,,13.97,18.36,18.0,12.48,,,,WESTERN_USA
-115.5,43.5, T2M ,2233,-999,65.72,19.9,16.43,12.74,,,,,,14.3,19.4,18.72,13.31,,,,WESTERN_USA
-115.5,44.0, T2M ,2214,-999,57.16,17.82,14.29,10.56,,,,,,11.99,17.29,16.61,11.27,,,,WESTERN_USA
-115.5,44.5, T2M ,2195,-999,49.95,16.01,12.49,8.76,,,,,,9.99,15.47,14.81,9.67,,,,WESTERN_USA
-115.5,45.0, T2M ,2176,-999,49.75,16.01,12.44,8.69,,,,,,9.92,15.43,14.76,9.64,,,,WESTERN_USA
-115.5,45.5, T2M ,2157,-999,56.13,17.53,14.03,10.35,,,,,,11.63,16.82,16.36,11.31,,,,WESTERN_USA
-115.5,46.0, T2M ,2137,-999,60.01,18.36,15.0,11.46,,,,,,12.82,17.61,17.25,12.32,,,,WESTERN_USA
-115.5,46.5, T2M ,2118,-999,62.78,19.19,15.69,12.02,,,,,,13.48,18.35,18.1,12.85,,,,WESTERN_USA
-115.5,47.0, T2M ,2098,-999,59.48,18.44,14.87,11.12,,,,,,12.61,17.56,17.32,11.99,,,,WESTERN_USA
-115.5,47.5, T2M ,2078,-999,61.98,18.94,15.5,11.83,,,,,,13.52,18.15,17.84,12.48,,,,WESTERN_USA
-115.5,48.0, T2M ,2058,-999,61.16,18.69,15.29,11.61,,,,,,13.45,17.95,17.6,12.16,,,,WESTERN_USA
