-111,46.5, MXCOHRTS ,2118,-111,1,1, WEST
-110.5,32.5, MXCOHRTS ,2599,-111,1,1, WEST
-110.5,33.5, MXCOHRTS ,2570,-111,1,1, WEST
-110.5,34, MXCOHRTS ,2555,-111,1,1, WEST
-110.5,40.5, MXCOHRTS ,2341,-111,1,1, WEST
-110.5,43, MXCOHRTS ,2251,-111,1,1, WEST
-110.5,43.5, MXCOHRTS ,2233,-111,1,1, WEST
-110.5,44, MXCOHRTS ,2214,-111,1,1, WEST
-110.5,44.5, MXCOHRTS ,2195,-111,1,1, WEST
-110.5,45, MXCOHRTS ,2176,-111,1,1, WEST
-110.5,46, MXCOHRTS ,2137,-111,1,1, WEST
-110.5,46.5, MXCOHRTS ,2118,-111,1,1, WEST
-110,33, MXCOHRTS ,2585,-111,1,1, WEST
-110,33.5, MXCOHRTS ,2570,-111,1,1, WEST
-110,37.5, MXCOHRTS ,2444,-111,1,1, WEST
-110,40.5, MXCOHRTS ,2341,-111,1,1, WEST
-110,43, MXCOHRTS ,2251,-111,1,1, WEST
-110,43.5, MXCOHRTS ,2233,-111,1,1, WEST
-110,44, MXCOHRTS ,2214,-111,1,1, WEST
-110,44.5, MXCOHRTS ,2195,-111,1,1, WEST
-110,45, MXCOHRTS ,2176,-111,1,1, WEST
-109.5,31.5, MXCOHRTS ,2628,-111,1,1, WEST
-109.5,33, MXCOHRTS ,2585,-111,1,1, WEST
-109.5,33.5, MXCOHRTS ,2570,-111,1,1, WEST
-109.5,42.5, MXCOHRTS ,2269,-111,1,1, WEST
-109.5,43.5, MXCOHRTS ,2233,-111,1,1, WEST
-109.5,45.5, MXCOHRTS ,2157,-111,1,1, WEST
-109.5,46.5, MXCOHRTS ,2118,-111,1,1, WEST
-109,33.5, MXCOHRTS ,2570,-111,1,1, WEST
-109,39.5, MXCOHRTS ,2376,-111,1,1, WEST
-109,45, MXCOHRTS ,2176,-111,1,1, WEST
-108.5,33, MXCOHRTS ,2585,-111,1,1, WEST
-108.5,35, MXCOHRTS ,2524,-111,1,1, WEST
-108.5,37.5, MXCOHRTS ,2444,-111,1,1, WEST
-108.5,38, MXCOHRTS ,2427,-111,1,1, WEST
-108.5,39.5, MXCOHRTS ,2376,-111,1,1, WEST
-108.5,45, MXCOHRTS ,2176,-111,1,1, WEST
-108.5,46, MXCOHRTS ,2137,-111,1,1, WEST
-108,33, MXCOHRTS ,2585,-111,1,1, WEST
-108,38, MXCOHRTS ,2427,-111,1,1, WEST
-108,38.5, MXCOHRTS ,2410,-111,1,1, WEST
-108,39, MXCOHRTS ,2393,-111,1,1, WEST
-108,39.5, MXCOHRTS ,2376,-111,1,1, WEST
-108,40, MXCOHRTS ,2359,-111,1,1, WEST
-108,44.5, MXCOHRTS ,2195,-111,1,1, WEST
-107.5,37, MXCOHRTS ,2460,-111,1,1, WEST
-107.5,38, MXCOHRTS ,2427,-111,1,1, WEST
-107.5,38.5, MXCOHRTS ,2410,-111,1,1, WEST
-107.5,39, MXCOHRTS ,2393,-111,1,1, WEST
-107.5,39.5, MXCOHRTS ,2376,-111,1,1, WEST
-107.5,40, MXCOHRTS ,2359,-111,1,1, WEST
-107.5,40.5, MXCOHRTS ,2341,-111,1,1, WEST
-107.5,41, MXCOHRTS ,2324,-111,1,1, WEST
-107.5,44.5, MXCOHRTS ,2195,-111,1,1, WEST
-107.5,45, MXCOHRTS ,2176,-111,1,1, WEST
-107,35.5, MXCOHRTS ,2508,-111,1,1, WEST
-107,36.5, MXCOHRTS ,2476,-111,1,1, WEST
-107,37, MXCOHRTS ,2460,-111,1,1, WEST
-107,37.5, MXCOHRTS ,2444,-111,1,1, WEST
-107,38, MXCOHRTS ,2427,-111,1,1, WEST
