-109.5000,45.5000, MXCOHRTS ,2157,-111,3,3, WEST
-109.5000,46.5000, MXCOHRTS ,2118,-111,3,3, WEST
-109.0000,33.5000, MXCOHRTS ,2570,-111,3,3, WEST
-109.0000,39.5000, MXCOHRTS ,2376,-111,3,3, WEST
-109.0000,45.0000, MXCOHRTS ,2176,-111,3,3, WEST
-108.5000,33.0000, MXCOHRTS ,2585,-111,3,3, WEST
-108.5000,35.0000, MXCOHRTS ,2524,-111,3,3, WEST
-108.5000,37.5000, MXCOHRTS ,2444,-111,3,3, WEST
-108.5000,38.0000, MXCOHRTS ,2427,-111,3,3, WEST
-108.5000,39.5000, MXCOHRTS ,2376,-111,3,3, WEST
-108.5000,45.0000, MXCOHRTS ,2176,-111,3,3, WEST
-108.5000,46.0000, MXCOHRTS ,2137,-111,3,3, WEST
-108.0000,33.0000, MXCOHRTS ,2585,-111,3,3, WEST
-108.0000,38.0000, MXCOHRTS ,2427,-111,3,3, WEST
-108.0000,38.5000, MXCOHRTS ,2410,-111,3,3, WEST
-108.0000,39.0000, MXCOHRTS ,2393,-111,3,3, WEST
-108.0000,39.5000, MXCOHRTS ,2376,-111,3,3, WEST
-108.0000,40.0000, MXCOHRTS ,2359,-111,3,3, WEST
-108.0000,44.5000, MXCOHRTS ,2195,-111,3,3, WEST
-107.5000,37.0000, MXCOHRTS ,2460,-111,3,3, WEST
-107.5000,38.0000, MXCOHRTS ,2427,-111,3,3, WEST
-107.5000,38.5000, MXCOHRTS ,2410,-111,3,3, WEST
-107.5000,39.0000, MXCOHRTS ,2393,-111,3,3, WEST
-107.5000,39.5000, MXCOHRTS ,2376,-111,3,3, WEST
-107.5000,40.0000, MXCOHRTS ,2359,-111,3,3, WEST
-107.5000,40.5000, MXCOHRTS ,2341,-111,3,3, WEST
-107.5000,41.0000, MXCOHRTS ,2324,-111,3,3, WEST
-107.5000,44.5000, MXCOHRTS ,2195,-111,3,3, WEST
-107.5000,45.0000, MXCOHRTS ,2176,-111,3,3, WEST
-107.0000,35.5000, MXCOHRTS ,2508,-111,3,3, WEST
-107.0000,36.5000, MXCOHRTS ,2476,-111,3,3, WEST
-107.0000,37.0000, MXCOHRTS ,2460,-111,3,3, WEST
-107.0000,37.5000, MXCOHRTS ,2444,-111,3,3, WEST
-107.0000,38.0000, MXCOHRTS ,2427,-111,3,3, WEST
-107.0000,39.0000, MXCOHRTS ,2393,-111,3,3, WEST
-107.0000,40.0000, MXCOHRTS ,2359,-111,3,3, WEST
-107.0000,40.5000, MXCOHRTS ,2341,-111,3,3, WEST
-107.0000,45.0000, MXCOHRTS ,2176,-111,3,3, WEST
-107.0000,45.5000, MXCOHRTS ,2157,-111,3,3, WEST
-107.0000,46.0000, MXCOHRTS ,2137,-111,3,3, WEST
-106.5000,36.5000, MXCOHRTS ,2476,-111,3,3, WEST
-106.5000,38.0000, MXCOHRTS ,2427,-111,3,3, WEST
-106.5000,39.5000, MXCOHRTS ,2376,-111,3,3, WEST
-106.5000,40.0000, MXCOHRTS ,2359,-111,3,3, WEST
-106.5000,41.0000, MXCOHRTS ,2324,-111,3,3, WEST
-106.5000,45.0000, MXCOHRTS ,2176,-111,3,3, WEST
-106.5000,45.5000, MXCOHRTS ,2157,-111,3,3, WEST
-106.0000,32.5000, MXCOHRTS ,2599,-111,3,3, WEST
-106.0000,33.0000, MXCOHRTS ,2585,-111,3,3, WEST
-106.0000,35.5000, MXCOHRTS ,2508,-111,3,3, WEST
-106.0000,38.0000, MXCOHRTS ,2427,-111,3,3, WEST
-106.0000,38.5000, MXCOHRTS ,2410,-111,3,3, WEST
-106.0000,40.0000, MXCOHRTS ,2359,-111,3,3, WEST
-106.0000,40.5000, MXCOHRTS ,2341,-111,3,3, WEST
-106.0000,42.0000, MXCOHRTS ,2288,-111,3,3, WEST
-106.0000,45.0000, MXCOHRTS ,2176,-111,3,3, WEST
-105.5000,35.5000, MXCOHRTS ,2508,-111,3,3, WEST
-105.5000,36.0000, MXCOHRTS ,2492,-111,3,3, WEST
-105.5000,36.5000, MXCOHRTS ,2476,-111,3,3, WEST
-105.5000,37.0000, MXCOHRTS ,2460,-111,3,3, WEST
-105.5000,37.5000, MXCOHRTS ,2444,-111,3,3, WEST
-105.5000,38.0000, MXCOHRTS ,2427,-111,3,3, WEST
-105.5000,38.5000, MXCOHRTS ,2410,-111,3,3, WEST
-105.5000,39.0000, MXCOHRTS ,2393,-111,3,3, WEST
-105.5000,41.0000, MXCOHRTS ,2324,-111,3,3, WEST
-105.0000,32.0000, MXCOHRTS ,2614,-111,3,3, WEST
-105.0000,36.5000, MXCOHRTS ,2476,-111,3,3, WEST
-105.0000,44.0000, MXCOHRTS ,2214,-111,3,3, WEST
-105.0000,44.5000, MXCOHRTS ,2195,-111,3,3, WEST
